Sr. No.,Component Name,EndPoint,Current Deployed(image)-Version,Deployed Date,Deployed By , Branch Name
46,c2c-dm-navigation-service,,1.0.0_2204281314,29th April 2022,Abhi,develop
47,c2c-dm-notificationservice,,1.0.0_2204281314,29th April 2022,Abhi,develop
48,c2c-dm-telemetry-persistence-service,http://reg.c2c-it.qualcomm.com/telemetry-persistence-service/v1/swagger-ui.html ,1.0.0_2204281314,29th April 2022,Abhi,develop
49,c2c-dm-telemetry-service,,1.0.0_2204281314,29th April 2022,Abhi,develop
50,c2c-sota-service-api,http://reg.c2c-it.qualcomm.com/sota-service/swagger-ui.html ,1.2.0-SNAPSHOT_2204281158,29th April 2022,Abhi,release_sprint18_1.0
51,c2c-campaign-builder-pro,,0.1.0-SNAPSHOT_2204271120,29th April 2022,Abhi,release_sprint18_1.0
52,c2c_commcore_c2dsender_pro-v2,,4.1.0-SNAPSHOT_2204271116,29st April 2022,Abhi,release_sprint18_1.0
53,c2c-sku-request-pro,,0.1.0-SNAPSHOT_2204271123,29nd April 2022,Abhi,release_sprint18_1.0
54,c2c-sku-response-pro,,0.2.0-SNAPSHOT_2204290450,29rd April 2022,Abhi,release_sprint18_1.0
55,c2c-sota-processor-pro,,1.2.0-SNAPSHOT_2204281158,29th April 2022,Abhi,release_sprint18_1.0
56,c2c-vehicle-state-pro,,0.1.0-SNAPSHOT_2204271123,29th April 2022,Abhi,release_sprint18_1.0
,,,,,,
,,,,,,
,Caroa API,https://carota-api.c2c-it.qualcomm.com/,,,,
,Caroa Admin,https://carota-admin.c2c-it.qualcomm.com/,,,,
,Caroa Files,https://carota-files.c2c-it.qualcomm.com/,,,,
,,,,,,
,,,,,,
1,IOT component,env.regional.partition.iot.endpoint=am1ck51fe3zjt-ats.iot.us-west-2.amazonaws.com,,,,
2,MySQL,c2c-usw2-intg-reg-dm-rds-database-mysql.c5yzu2op94e8.us-west-2.rds.amazonaws.com    ,,,,
3,PostgreSQL,c2c-usw2-intg-reg-dm-rds-database-psql.c5yzu2op94e8.us-west-2.rds.amazonaws.com,,,,
